CNTR_NUM,CNTR_TEU,IS_20,IS_40,IS_45,IS_GP,IS_HQ,IS_XX,TARIFF_CODE,VGM_WT,IS_OVERWT,GC_IND,PCT_IND,RF_IND,DG_IND,AW_IND,IS_NORTH_BOUND,IS_EAST_BOUND,IS_TOP_COMMODITY,IS_CARRIER_IND,BOX_COUNT,ETA_DD,ETA_MO,LADEN_PICKUP_FCIL_CDE,MTY_RTN_FCIL_CDE,MTY_RTN_TRANSITTIME_ACTUAL
XXXX831908,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,85
XXXX677472,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,7,4,06,LGB10,LGB10,129
XXXX914126,2,0,1,0,0,1,0,3,7,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,146
XXXX834959,2,0,1,0,0,1,0,3,18,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,86
XXXX883940,2,0,1,0,0,1,0,3,8,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,211
XXXX918067,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,7,4,06,LGB10,LGB10,143
XXXX577936,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,95
XXXX985320,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,111
XXXX872899,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,86
XXXX985286,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,103
XXXX836530,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,3,06,LGB10,LGB10,110
XXXX161348,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,109
XXXX851596,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,86
XXXX888563,2,0,1,0,0,1,0,3,8,0,1,0,0,0,0,0,1,1,1,2,3,06,LGB10,LGB10,87
XXXX973469,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,141
XXXX690079,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,121
XXXX919490,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,133
XXXX898130,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,121
XXXX959116,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,139
XXXX984006,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,11,2,06,LGB10,LGB10,86
XXXX968803,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,11,2,06,LGB10,LGB10,188
XXXX175396,2,0,1,0,0,1,0,3,13,0,1,0,0,0,0,0,1,0,1,11,2,06,LGB10,LGB10,156
XXXX824741,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,1,1,2,3,06,LGB10,LGB10,171
XXXX867759,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,7,4,06,LGB10,LGB10,144
XXXX821907,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,7,4,06,LGB10,LGB10,149
XXXX931192,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,83
XXXX898699,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,117
XXXX821864,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,85
XXXX933080,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,83
XXXX146977,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,101
XXXX807282,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,18,4,06,LGB10,LGB10,83
XXXX882921,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,3,3,06,LGB10,LGB10,117
XXXX866214,2,0,1,0,0,1,0,3,15,0,1,0,0,0,0,0,1,0,1,2,5,07,LGB10,LGB10,135
XXXX672462,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,114
XXXX169626,1,1,0,0,1,0,0,3,4,0,1,0,0,0,0,0,1,1,1,1,3,06,LGB10,LGB10,147
XXXX935640,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,1,1,1,3,06,LGB10,LGB10,204
XXXX549338,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,0,1,6,4,06,LGB10,LGB10,149
XXXX443069,2,0,1,0,1,0,0,3,9,0,1,0,0,0,0,0,1,0,1,6,4,06,LGB10,LGB10,171
XXXX967033,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,07,LGB10,LGB10,141
XXXX828968,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,07,LGB10,LGB10,112
XXXX772405,2,0,1,0,1,0,0,3,7,0,1,0,0,0,0,0,1,1,1,1,3,06,LGB10,LGB10,210
XXXX489680,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,1,1,2,3,06,LGB10,LGB10,105
XXXX973773,2,0,1,0,0,1,0,3,13,0,1,0,0,0,0,0,1,1,1,2,3,06,LGB10,LGB10,193
XXXX682251,2,0,1,0,0,1,0,3,15,0,1,0,0,0,0,0,1,0,1,1,5,07,LGB10,LGB10,125
XXXX865046,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,115
XXXX997194,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,06,LGB10,LGB10,179
XXXX897002,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,131
XXXX912746,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,2,4,06,LGB10,LGB10,106
